"","dyad_id","cantons","year","canton1","canton2","ID_SM","title","time","pollution","border","construction","shipping","fish","power","river","enf_cant","enf_comm","mon_cant","mon_comm","conf_dir","conf_body","conf_fed","enforcement","monitoring","conflict","commission","info_exchange","obligation","cost","bilateral","treaty_yes","date","agr_cum","conflict_cum","monitoring_cum","commission_cum","agr_one","conflict_one","monitoring_one","commission_one","agreement_sqrt","conflict_sqrt","monitoring_sqrt","commission_sqrt","any_mech_yes","drain_1_to_2","drain_2_to_1","total_wat","share_drain_1","share_drain_2","symmetry","bi_lingue"
"67",1,"AG BE",1907,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"68",1,"AG BE",1908,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"69",1,"AG BE",1909,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"70",1,"AG BE",1910,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"71",1,"AG BE",1911,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"72",1,"AG BE",1912,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"73",1,"AG BE",1913,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"74",1,"AG BE",1914,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"75",1,"AG BE",1915,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"76",1,"AG BE",1916,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"77",1,"AG BE",1917,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
